Timestamp_LSL,Thumb_CMC,Thumb_MCP,Thumb_IP,Index_MCP,Index_PIP,Index_DIP,Middle_MCP,Middle_PIP,Middle_DIP,Ring_MCP,Ring_PIP,Ring_DIP,Pinky_MCP,Pinky_PIP,Pinky_DIP
76531.559,155.27220192575098,169.78622988083157,161.8993783685616,167.26350729818623,169.68433156408997,174.84213739011602,176.6317897847313,175.20515561423753,176.5472457719129,173.05381040847115,170.6759283852693,173.53299145238236,143.55308041483144,158.07654106404522,166.32937154854804
76531.591,154.5567559774647,169.1741228013648,161.20679510296029,168.02895770642877,177.5708393346369,177.69290316596476,179.5158436518254,176.2343560994713,177.0058242198234,170.20588344505654,171.51453643382297,174.05914739323848,137.87830853991946,146.61350812214147,164.57750113263765
76531.657,153.26438181563708,169.5715620715147,161.0731157743197,169.5491054138118,176.9244362168562,179.34447849084782,156.806836301377,133.80371761906488,170.12303227987368,137.592919035587,141.84606820563747,171.5799139043492,81.87414040590528,140.6945766179299,171.33101349181158
76531.691,155.09672011452523,172.08073749581072,153.28122075747183,169.41943887434064,175.84300571417336,177.62365076973038,144.64395889119663,144.822013438315,169.08390235589076,122.01967771902041,152.70405571742606,169.735672874395,68.00358405011,153.94066411423842,171.34686584821853
76531.72,154.32035662288192,172.0028400736213,157.19912326761494,169.80010564567718,176.3242983484682,179.5542910954696,152.45464509102268,145.39367111781763,171.96524079686313,124.46553693043738,158.5358340985569,170.58052358903913,66.71868793775093,157.66063610584138,172.01935047601438
76531.753,154.76512908959745,170.74177700455965,160.72758811884754,171.3883918880433,175.84443410516704,175.19196206729782,164.17700595618834,172.53394355550355,173.9981409559278,126.99779325884597,163.68146063507928,165.9083683186405,65.49459541357342,157.24841065258738,172.17169159887663
76531.801,154.95430798896345,169.09309687255976,166.29311378562292,170.53939562786096,178.31356891597315,175.73340105090668,176.21424713807903,174.98438294589292,175.26602480891947,151.14761466522415,141.09052077717917,164.4983072406352,77.96400014460723,150.91734956069638,172.6848851203666
76531.806,154.6902433285462,168.77189877564675,164.14458731844593,171.55378052925025,178.67013621326342,174.99050913333403,176.86527726911044,175.6573933755266,175.68229810696994,152.11740124055814,137.9691337092239,165.89976875614343,79.80374244983598,148.0697099044442,173.08567433134775
76531.832,153.654385402793,171.59233131402436,167.42398470595842,163.55144136422754,156.32192146724404,164.63435612401614,174.8508984341023,172.77979934256547,176.5630034169939,165.20581424983553,152.28328584344757,170.94184723371865,103.39285703958944,129.99648398379495,173.61243527701382
76531.864,157.0656386928148,172.20683063503307,166.2100728390711,169.21574767772745,174.36360178844643,176.47059099328501,175.44745243420718,175.2801202613695,176.81443163384202,168.7470571897272,159.3674268423931,173.81174058449392,149.86167475293385,158.4426783129872,171.57445732831795
76531.898,156.80667434818054,172.70505444664957,165.7294966603642,169.79705191841336,176.39678149277168,175.0296304806759,175.42761572072746,175.37833698171835,174.36586707102506,172.1238588450222,166.78951238960454,171.86900648544807,169.88869517493677,167.65095932977115,171.06782518489914
76531.929,155.83516293514907,172.11792182352798,166.2970135458478,170.41485018713556,174.67288569969824,177.48330843254882,165.0987907643859,151.65779860329002,168.59562259958344,168.6548719129661,163.41782406105565,171.0878883372544,171.0757737355378,168.12594291434561,171.9885916400513
76531.962,157.9251935866761,172.43345676953015,163.59716624607606,168.5077454902823,175.88788511736763,177.7375719559834,172.0428349855115,171.83454708090738,176.7570747148957,176.08832335498096,169.60419452569334,176.36141194326714,167.86151989391493,163.8665950989298,173.70220797899492
76531.993,158.49532756604358,170.69266249965267,166.74385550812153,168.6508889846706,176.09664929581243,177.19346027338284,176.43801429939526,174.83462670009612,177.32857689197826,177.43024260592549,171.3066005607574,175.52714130413602,158.9302477667548,162.21224174935548,171.45690170631684
76532.057,153.7390340814496,170.03734930521924,161.00384000321688,170.6967660489784,177.95580288968975,178.57988704065448,177.33785216306802,175.0272638879805,177.81296697541572,161.79350192598375,173.95310224280973,174.58289752415655,84.77899032921341,144.67529694566227,176.29655269840995
76532.089,158.25419772256421,164.53981289346024,170.4012447523248,166.95510368857092,178.98492996664123,176.35117453528872,149.87088425574402,119.81005969161032,150.48545158346212,80.12783182504937,131.4884838944581,165.15643385019922,54.45920561160142,152.9066557844818,169.3147208671035
76532.121,161.1062406249285,170.0193994051906,170.32549856105632,167.09180181728556,178.27434205086686,176.19258353866738,124.50273426466356,93.82573448181107,161.20476265035052,66.31850915830978,137.1130473526948,165.69058719344437,52.64457967689043,149.50408767568908,167.89480328900845
76532.153,163.3090430298556,170.05712634469114,170.38258008043087,167.1438533953711,178.31802994487734,175.59546472471666,116.82838520122844,102.02027934690469,162.75499429158083,67.5655516075439,134.65900232602442,165.4091475751504,55.211739282600405,144.7945278925556,167.47653482713773
76532.184,165.63782483278095,168.46072029347127,164.70683056548197,168.02395127283913,175.99926183328944,175.19667764060773,123.57817819573866,101.85053948968765,161.66692322283697,81.92531426339573,120.70392244432375,165.79192467677194,62.34265983715224,140.54915972884604,166.873313462574
76532.233,164.55630428779554,172.3435896716941,160.86739023552565,158.52860080301411,126.9552593960244,164.24678992125237,152.16218679421667,114.64842809088726,167.33929627802203,138.1534684072352,111.33860194389486,169.92507806067363,95.10220807073799,126.92415663614327,171.999057995232
76532.24,162.28699949699924,170.1918867301292,158.74565010531043,154.41564366728372,123.54377188150418,161.94723670654753,150.47019517620646,121.84737520183572,171.06063114592283,140.6801069438899,109.14384644257545,171.75546628822275,95.65732429626941,126.07458176854931,173.3474352189276
76532.265,158.70483704516045,172.69993920805996,161.80577251066123,142.63154677199938,112.77405001709198,160.2920822765,167.47870908824356,168.96388172521335,174.75129269353022,167.56701952225936,164.87245044058528,173.44088910419336,163.62451474622307,155.96466701649808,169.97345710934903
76532.297,158.37201951474586,173.82298477748895,150.9665164165605,147.7545570008102,116.99286142676188,158.12021996020744,171.2821413924826,173.18977263936364,174.77545534255515,171.85330018736414,170.46491696329414,172.27604354527838,173.10791896134455,166.50310119174307,171.15327847982306
76532.328,158.9187027750767,174.05980795624046,157.48133443903282,157.20457394526593,147.41722403820953,171.20422904736193,173.82842408056163,174.20573347047403,175.85290795462612,174.89253057563,172.27317199127455,173.41988126764286,174.2060104235143,169.43237895524763,172.65914540960983
76532.36,155.6160612050153,173.3788143220165,159.10779624661305,169.3694146265876,174.59462002494894,177.6632040805257,178.72085572390225,174.9529271142777,177.75211331359736,172.92616765525284,170.65000401127497,175.00823695170226,126.7480229171896,129.69489941396316,172.53055348417163
76532.391,154.71587736615768,171.1028038057713,161.7645908065977,173.92494628315546,178.9337315584825,179.43978135195206,175.8665649044475,176.18305985212268,177.621871932832,163.38363028636795,177.84279308538018,172.42514028745492,87.06230997865505,144.18870651118544,175.63750795448917
76532.458,160.26886950612464,168.94276463230847,166.1406816281979,167.60729389732603,176.20027766445457,176.11431353817807,174.86682614909418,177.2940582598421,174.17560047951562,102.21235909120286,117.3570427040432,165.9438491756167,60.60449815468277,152.46155355729744,169.64763986521766
76532.489,159.9052643594318,166.61469399758332,171.92527769212316,165.538010373167,179.13560304851904,173.76443145466357,167.65613167594665,176.4685617453937,172.1041872936443,72.5579165933441,137.61478334158807,167.26118241127375,54.0620259036078,152.52720663944345,169.67175117906697
76532.52,159.7240287533121,170.3978194389785,165.24681150756473,166.14842984183284,178.90196968232246,174.53917754309325,142.74920676178567,88.37650730763079,152.93630056625918,67.48881717734764,135.25206008836008,164.20018857768352,50.94935658958752,148.70400528329586,166.12293092354247
76532.554,162.89022423389625,170.31283310830997,165.77635722109324,165.79673232260402,178.59505863134865,175.0642319163801,127.65091792920416,93.9586764520597,160.38226675545997,65.77368545830129,134.2505706467737,164.86872354594507,52.332331739679816,146.08938096152573,165.7311596679462
76532.585,161.2948986798009,169.64416568867406,167.13093286912243,164.54076127094626,177.4004380162533,175.74472703374198,119.0864358745093,99.93592711221602,161.99733913109017,63.90083052593537,134.98588627987263,165.25265608672964,52.73920371550641,144.7229605132297,166.04755670895565
76532.617,161.69266723777736,168.73622906295077,168.7292707271022,164.43241074758745,176.71334703860902,176.47091373428736,104.60193164230824,108.20803420203664,165.06152201305954,61.11583636367512,136.05102633470034,165.78441134701617,51.52795004913892,144.16099033800757,166.34546917559172
76532.665,163.61801935560402,168.3208056977562,170.0016195861319,164.05710057340463,177.35740670869322,176.29933110748073,94.36195985765693,116.561088695731,166.5467299498764,58.317758784498174,138.00015113046888,165.896273561401,49.57808538079118,145.0571142405854,165.89905894304243
76532.671,162.83467314997836,167.01694399834696,169.55721930934212,164.34262069463495,177.18310175987233,176.62030806400423,93.83968061209025,116.69770384003257,166.6496196378631,59.3317671095455,137.126492033206,166.17852530736934,50.22646782684614,144.51731558476382,165.96513323852372
76532.697,163.06134081403783,168.22350248027524,168.23193071560286,166.18231476506864,177.21975640506523,176.19599349922174,88.12248155491403,119.21474494405595,167.8595933030919,57.42010994240708,136.72634673434422,166.7244838053159,49.88178193216715,143.07147395255413,166.90493806662198
76532.729,163.96866765189446,168.78509552868718,167.38476784717705,165.7371759299154,176.39718670785803,175.37917615460054,87.62162130607618,119.53155800302598,168.4135220947315,61.32923778262546,133.49990298178898,167.01134949131654,54.927515427054686,137.51650436336658,168.06078312776413
76532.76,165.1803560583128,168.82768800647767,165.51294547861417,154.10321722001268,117.35585295521976,140.8587375008415,93.45255761657015,115.57449838835856,167.95303325645077,67.79814124545497,130.96812094076085,167.67495455061336,64.47843148060967,131.54570569816886,169.2758027968351
76532.793,168.58603206439005,170.31252603340624,165.31771599768103,144.479156035178,94.16118984616413,162.56182647999577,128.332300457745,90.8134271052029,168.8462249470967,127.18659668514833,80.63823310030291,169.12438491029786,114.11016103355719,91.87724306414832,169.3013694505476
